EmployeeId,FirstName,LastName,Department,Designation,StoreId,HireDate,Salary
EMP0063,Jatin,Singh,IT,Analyst,8,2024-09-28,25896
EMP0064,Ira,Doshi,Human Resources,Coordinator,16,2023-03-03,61699
EMP0065,Zayan,Guha,IT,Manager,4,2023-09-26,49496
EMP0066,Ridhi,Sani,IT,Specialist,3,2023-01-04,89779
EMP0067,Ishanvi,Dara,Human Resources,Specialist,11,2021-08-27,27258
EMP0068,Sanaya,Seth,Sales,Manager,12,2021-12-01,80350
EMP0069,Harinakshi,Arya,Marketing,Specialist,17,2022-09-09,65590
EMP0070,Janani,Konda,Sales,Coordinator,13,2022-11-23,38302
EMP0071,Oscar,Kala,Sales,Specialist,18,2025-01-26,94499
EMP0072,Oviya,Chandra,IT,Specialist,8,2025-03-20,93693
EMP0073,Rajeshri,Gara,Operations,Specialist,2,2023-03-04,96673
EMP0074,Deepa,Babu,Operations,Coordinator,19,2024-12-04,60609
EMP0075,Zarna,Dhawan,Human Resources,Analyst,7,2024-09-04,65327
EMP0076,Sanaya,Ganesan,Sales,Analyst,7,2025-11-07,65042
EMP0077,Garima,Acharya,Sales,Coordinator,10,2026-03-19,84536
EMP0078,Gunbir,Minhas,Finance,Coordinator,11,2022-06-15,64921
EMP0079,Janaki,Prashad,Finance,Specialist,17,2022-10-05,32720
EMP0080,Leela,Vora,IT,Analyst,20,2023-10-11,68446
EMP0081,Yug,Chacko,Human Resources,Analyst,14,2023-03-29,93661
EMP0082,Wakeeta,Chakraborty,Human Resources,Analyst,18,2021-10-11,50593
EMP0083,Kashvi,Pai,IT,Specialist,2,2026-06-27,59032
EMP0084,Raksha,Natt,Marketing,Coordinator,14,2023-01-10,70883
EMP0085,Frado,Rajagopal,Operations,Manager,10,2022-08-29,91054
EMP0086,Osha,Nanda,IT,Executive,18,2022-11-03,91701
EMP0087,Hema,Kari,Human Resources,Coordinator,10,2023-10-12,89497
EMP0088,Rudra,Parikh,Sales,Specialist,6,2024-09-16,70693
EMP0089,Nidhi,Mall,Marketing,Specialist,16,2026-04-20,36343
EMP0090,Kavya,Chander,Finance,Coordinator,14,2021-11-24,63719
EMP0091,Mohini,Ramachandran,Marketing,Executive,19,2025-11-03,33477
EMP0092,Kai,Jaggi,Marketing,Analyst,20,2025-10-28,73112
EMP0093,Vansha,Chawla,IT,Analyst,18,2024-04-05,27089
EMP0094,Ganga,Chander,Sales,Specialist,8,2025-06-10,51640
EMP0095,Vedant,Ben,IT,Analyst,9,2025-08-22,51851
EMP0096,Girik,Kata,Marketing,Executive,1,2024-09-28,76128
EMP0097,Qarin,Venkataraman,Marketing,Executive,5,2024-04-25,23927
EMP0098,Diya,Patel,Operations,Specialist,17,2022-05-05,45597
EMP0099,Victor,Iyengar,IT,Specialist,18,2022-05-05,82427
EMP0100,Praneel,Rege,Sales,Coordinator,13,2025-02-13,52711
